dbn,name,primary_address,city,zip,latitude,longitude
01M015,P.S. 015 Roberto Clemente,333 EAST 4 STREET,MANHATTAN,10009,40.721868,-73.9787712
01M019,P.S. 019 Asher Levy,185 1 AVENUE,MANHATTAN,10003,40.7298058,-73.9836952
01M020,P.S. 020 Anna Silver,166 ESSEX STREET,MANHATTAN,10002,40.7213978,-73.9864632
01M034,P.S. 034 Franklin D. Roosevelt,730 EAST 12 STREET,MANHATTAN,10009,40.726111,-73.9749631
01M063,The STAR Academy - P.S.63,121 EAST 3 STREET,MANHATTAN,10009,40.7244039,-73.9863598
01M064,P.S. 064 Robert Simon,600 EAST 6 STREET,MANHATTAN,10009,40.7240249,-73.9816527
01M110,P.S. 110 Florence Nightingale,285 DELANCY STREET,MANHATTAN,10002,40.715295,-73.979925
01M134,P.S. 134 Henrietta Szold,293 EAST BROADWAY,MANHATTAN,10002,40.7144062,-73.9832907
01M137,P.S. 137 John L. Bernstein,293 EAST BROADWAY,MANHATTAN,10002,40.7144062,-73.9832907
01M140,P.S. 140 Nathan Straus,123 RIDGE STREET,MANHATTAN,10002,40.7192842,-73.9830468
01M142,P.S. 142 Amalia Castro,100 ATTORNEY STREET,MANHATTAN,10002,40.7185769,-73.9843219
01M184,P.S. 184m Shuang Wen,327 CHERRY STREET,MANHATTAN,10002,40.7114373,-73.9854864
01M188,P.S. 188 The Island School,442 EAST HOUSTON STREET,MANHATTAN,10002,40.7196415,-73.9774227
01M292,Henry Street School for International Studies,220 HENRY STREET,MANHATTAN,10002,40.7135296,-73.9856844
01M301,"Technology, Arts, and Sciences Studio",185 1 AVENUE,MANHATTAN,10003,40.7298058,-73.9836952
01M315,The East Village Community School,610 EAST 12 STREET,MANHATTAN,10009,40.7276766,-73.9780869
01M332,University Neighborhood Middle School,220 HENRY STREET,MANHATTAN,10002,40.7135296,-73.9856844
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",220 HENRY STREET,MANHATTAN,10002,40.7135296,-73.9856844
01M361,The Children's Workshop School,610 EAST 12 STREET,MANHATTAN,10009,40.7276766,-73.9780869
01M363,Neighborhood School,121 EAST 3 STREET,MANHATTAN,10009,40.7244039,-73.9863598
01M364,Earth School,600 EAST 6 STREET,MANHATTAN,10009,40.7240249,-73.9816527
01M378,School for Global Leaders,145 STANTON STREET,MANHATTAN,10002,40.7202883,-73.9860794
01M448,University Neighborhood High School,200 MONROE STREET,MANHATTAN,10002,40.7122569,-73.9840313
01M450,East Side Community School,420 EAST 12 STREET,MANHATTAN,10009,40.729311,-73.9825827
01M458,Forsyth Satellite Academy,198 FORSYTH STREET,MANHATTAN,10002,40.7224667,-73.9905416
01M509,Marta Valle High School,145 STANTON STREET,MANHATTAN,10002,40.7202883,-73.9860794
01M515,Lower East Side Preparatory High School,145 STANTON STREET,MANHATTAN,10002,40.7202883,-73.9860794
01M539,"New Explorations into Science, Technology and Math High School",111 COLUMBIA STREET,MANHATTAN,10002,40.7195002,-73.9792392
01M650,Cascades High School,198 FORSYTH STREET,MANHATTAN,10002,40.7224667,-73.9905416
01M696,Bard High School Early College,525 EAST HOUSTON STREET,MANHATTAN,10002,40.7180919,-73.9760746
01M839,Tompkins Square Middle School,600 EAST 6 STREET,MANHATTAN,10009,40.7240249,-73.9816527
02M001,P.S. 001 Alfred E. Smith,8 HENRY STREET,MANHATTAN,10038,40.712614,-73.9973096
02M002,P.S. 002 Meyer London,122 HENRY STREET,MANHATTAN,10002,40.7130758,-73.9915487
02M003,P.S. 003 Charrette School,490 HUDSON STREET,MANHATTAN,10014,40.7325818,-74.0061593
02M006,P.S. 006 Lillie D. Blake,45 EAST 81 STREET,MANHATTAN,10028,40.7776753,-73.9607117
02M011,P.S. 011 William T. Harris,320 WEST 21 STREET,MANHATTAN,10011,40.7445489,-74.000737
02M033,P.S. 033 Chelsea Prep,281 9 AVENUE,MANHATTAN,10001,40.7488713,-74.0001458
02M040,P.S. 040 Augustus Saint-Gaudens,319 EAST 19 STREET,MANHATTAN,10003,40.7350123,-73.9817101
